OTU	Domain		Phylum		Class		Order		Family		Genus		A1.FF	A2.FF	A3.FF	A4.FF	A5.FF	A6.FF	B1.FF	B2.FF	B3.FF	B4.FF	B5.FF	B6.FF	C1.FF	C2.FF	C3.FF	C4.FF	C5.FF	C6.FF	D1.FF	D2.FF	D3.FF	D4.FF	D5.FF	D6.FF
Otu00087	Fungi	100%	Ascomycota	99%	Ascomycota incertae sedis	65%	Ascomycota incertae sedis	65%	Ascomycota incertae sedis	65%	Anungitopsis	62%	1	17	5	0	4	5	9	3	2	13	2	4	0	0	0	0	0	0	0	0	0	0	0	0
Otu00088	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Marasmiaceae	100%	Marasmius	100%	0	0	0	1	0	0	0	2	1	0	23	2	10	1	0	0	0	0	2	0	3	2	6	9
Otu00089	Fungi	100%	Ascomycota	100%	Leotiomycetes	90%	Helotiales	90%	Sclerotiniaceae	53%	Scleromitrula	49%	0	39	0	0	0	13	0	0	0	2	0	3	0	0	0	0	0	4	0	0	0	0	0	0
Otu00090	Fungi	100%	Ascomycota	100%	Leotiomycetes	75%	Helotiales	75%	Helotiaceae	24%	Chloroscypha	21%	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00091	Fungi	100%	Ascomycota	100%	Ascomycota incertae sedis	35%	Ascomycota incertae sedis	35%	Ascomycota incertae sedis	35%	Anungitopsis	35%	6	5	5	0	1	2	6	5	1	1	0	8	4	0	0	0	7	3	2	2	0	1	0	1
Otu00092	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	93%	Tricholomataceae	87%	Hemimycena	56%	0	0	0	0	0	0	7	5	0	3	4	0	32	2	0	0	0	0	0	0	0	2	3	0
Otu00093	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Entolomataceae	100%	Clitopilus	100%	0	0	0	0	0	0	0	0	1	0	14	0	0	0	0	0	0	35	0	0	0	0	2	5
Otu00094	Fungi	100%	Ascomycota	100%	Leotiomycetes	99%	Helotiales	99%	Helotiaceae	43%	Ombrophila	14%	6	5	0	3	2	0	2	5	0	10	3	1	3	0	0	1	0	10	1	1	0	0	0	3
Otu00095	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Gomphales	100%	Gomphaceae	100%	Ramaria	100%	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00096	Fungi	100%	Ascomycota	100%	Leotiomycetes	96%	Helotiales	73%	Helotiales incertae sedis	61%	Fulvoflamma	37%	8	0	0	0	1	1	2	5	0	5	2	3	6	0	1	1	3	7	9	1	0	0	0	0
Otu00097	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Cantharellales	61%	Ceratobasidiaceae	41%	endophyte	21%	0	0	0	0	0	0	0	3	0	0	0	0	24	9	1	5	7	0	0	0	0	3	0	0
Otu00098	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Cortinariaceae	80%	Galerina	78%	50	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu00099	Fungi	100%	Ascomycota	100%	Leotiomycetes	100%	Leotiomycetes incertae sedis	64%	Leotiomycetes incertae sedis	64%	Collophora	64%	0	0	0	0	0	0	0	0	7	12	0	0	10	0	0	0	1	1	0	0	0	10	0	9
Otu00100	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Strophariaceae	100%	Pholiota	100%	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00101	Fungi	100%	Ascomycota	100%	Sordariomycetes	100%	Hypocreales	100%	Clavicipitaceae	100%	Paecilomyces	100%	3	0	0	3	4	0	3	16	2	0	3	2	0	1	0	2	0	0	0	0	0	4	0	4
Otu00102	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Polyporales	88%	Polyporales incertae sedis	88%	Aphyllophoralean	88%	0	0	0	0	0	0	19	0	0	0	0	0	2	1	7	2	14	0	0	0	0	0	0	1
Otu00103	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Polyporales	99%	Lachnocladiaceae	98%	Vararia	63%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24	0	0	0	0	0	21
